code,description,specification
auxC,Auxiliary type,HEIF
av1C,AVIF Image item configuration,AVIF
avcC,AVC Image item configuration,HEIF
brnd,Item brand (type),ISO
clap,Clean aperture,HEIF
colr,Colour information,HEIF
covi,Coverage information,OMAF
fovi,Essential fisheye information,OMAF
fvsi,Supplemental fisheye information,OMAF
hvcC,HEVC Image item configuration,HEIF
iaux,Item Auxiliary Information,ISO Common Encryption
ienc,Item Encryption,ISO Common Encryption
iivo,Initial viewing orientation,OMAF
imir,Image mirroring,HEIF
irot,Image rotation,HEIF
ispe,Image spatial extents,HEIF
jpgC,JPEG image item configuration,HEIF
jxsH,JPEG XS Header,JPXS
lhvC,Layered HEVC Image item configuration,HEIF
lsel,Layer selection,HEIF
oinf,HEVC operating point,HEIF
ovly,Overlay configuration,OMAF
pasp,Pixel aspect ratio,HEIF
pixi,Pixel information,HEIF
prfr,Projection format,OMAF
rloc,Relative location,HEIF
rotn,Rotation,OMAF
rwpk,Region-wise packing,OMAF
stvi,Frame packing,OMAF
subs,Subsample information,HEIF
tols,Layered HEVC Target output layer set property,HEIF
v3cC,V3C configuration,V3C-SYS
v3tp,V3C atlas tile configuration,V3C-SYS
vssn,Viewing space,OMAF
vutp,V3C unit header,V3C-SYS
aebr,Auto Exposure Information,HEIF
afbr,Flash exposure information,HEIF
altt,Accessibility text,HEIF
crtt,Creation time information,HEIF
dobr,Depth of field information,HEIF
fobr,Focus information,HEIF
iscl,Image scaling,HEIF
mdft,Modification time information,HEIF
pano,Panorama information,HEIF
rref,Required reference types,HEIF
udes,User description,HEIF
wbbr,White balance information,HEIF
cclv,Content colour volume,HEIF
mdcv,Mastering display colour volume,HEIF
clli,Content light level,HEIF
